r, lambda, epoch, N, ncs_res 
0.900114359,1.012134331,13,1,390.0157513151195 
0.90011414,1.01213736,13,1,390.0000154078659 
0.90011426,1.012136089,13,1,390.0150560078667 
0.900114619,1.012137939,13,1,390.0000457134633 
0.900114073,1.012136681,13,1,390.00001007264666 
0.900114027,1.012132985,13,1,390.00010319404385 
0.900114195,1.012139404,13,1,390.0000723469265 
0.900114471,1.012133498,13,1,390.00002275980506 
0.900114666,1.012136781,13,1,390.000068591753 
0.900114276,1.012138997,13,1,390.0154121368656 
0.900114808,1.012132847,13,1,390.00003042435054 
0.900114294,1.012137484,13,1,390.01541214373674 
0.900114937,1.012130354,13,1,390.00015054539347 
0.900114015,1.012137141,13,1,390.00000011468586 
0.900114942,1.012136628,13,1,390.0000093940282 
0.900114144,1.012133752,13,1,390.0000781871536 
0.900114582,1.012136818,13,1,390.00001784386575 
0.900114729,1.012132895,13,1,390.00014989657143 
0.900114062,1.012135014,13,1,390.0000547621292 
0.900114538,1.012131677,13,1,390.00014831932634 
0.900114159,1.012137328,13,1,390.00002603195725 
0.900114157,1.012131167,13,1,390.00000109315135 
0.900114215,1.012138777,13,1,390.000032608496 
0.900114142,1.012130325,13,1,390.0000032769353 
0.900114925,1.012139047,13,1,390.0001952426676 
0.900114028,1.012138719,13,1,390.00003220595903 
0.900114442,1.012137355,13,1,390.0003297396314 
0.900114241,1.012131984,13,1,390.0153984172957 
0.900114124,1.012135382,13,1,390.000069766422 
0.900114294,1.012137206,13,1,390.01541214373674 
0.900114374,1.012135159,13,1,390.0155286553416 
0.900114657,1.012139528,13,1,390.0000200853232 
0.90011413,1.012132654,13,1,390.00001798312746 
0.900114398,1.012134845,13,1,390.01535786475546 
0.900114728,1.012138727,13,1,390.00002994098895 
0.900114749,1.012139832,13,1,390.00001722159715 
0.900114275,1.012131939,13,1,390.01517099805255 
0.900114575,1.012136955,13,1,390.0000954426048 
0.900114544,1.012133602,13,1,390.00017953785976 
0.900114537,1.012134595,13,1,390.000144704126 
0.900114208,1.012135849,13,1,390.00000004949317 
0.900114592,1.012136576,13,1,390.00004670302536 
0.900114842,1.012136895,13,1,390.00004346163087 
0.900114572,1.012135259,13,1,390.0002074457739 
0.900114415,1.012139011,13,1,390.01526723626694 
0.900114745,1.012134399,13,1,390.00032879456904 
0.900114687,1.012134329,13,1,390.00010554363223 
0.900114014,1.012135221,13,1,390.0000567919904 
0.900114676,1.012135043,13,1,390.0000930885393 
0.900114815,1.012137247,13,1,390.00021994362834 
0.900114542,1.012130271,13,1,390.0000112093811 
0.900114154,1.012139306,13,1,390.0000432811573 
0.900114594,1.012134719,13,1,390.0002603519156 
0.900114876,1.012139516,13,1,390.00011327731096 
0.900114533,1.012133367,13,1,390.00023285388625 
0.900114524,1.012134539,13,1,390.00014851499355 
0.900114045,1.012139341,13,1,390.0000249817453 
0.900114921,1.012130218,13,1,390.0001898312319 
0.900114996,1.012136053,13,1,390.0001421449466 
0.900114432,1.012133076,13,1,390.0158129886324 
0.900114725,1.01213999,13,1,390.00015865006384 
0.900114289,1.012133135,13,1,390.01516952119914 
0.900114188,1.012136451,13,1,390.00001886947456 
0.900114003,1.012135837,13,1,390.0000023341402 
0.900114027,1.012138725,13,1,390.00010319404385 
0.900114907,1.012132236,13,1,390.0000231859488 
0.900114308,1.012131517,13,1,390.015188295808 
0.900114346,1.012133041,13,1,390.01522277956656 
0.90011445,1.012134558,13,1,390.0000782797572 
0.900114459,1.012130314,13,1,390.00019240605866 
0.900114088,1.012130144,13,1,390.0001340386612 
0.900114112,1.012130619,13,1,390.0000122108472 
0.900114021,1.012135627,13,1,390.0000443921982 
0.90011429,1.012133872,13,1,390.0153927617856 
0.900114558,1.012134696,13,1,390.00010008374664 
0.900114423,1.012133979,13,1,390.0155298755487 
0.900114568,1.012138742,13,1,390.0000442491654 
0.900114364,1.012133607,13,1,390.01456810607726 
0.900114498,1.012137288,13,1,390.0000979658402 
0.900114153,1.012137688,13,1,390.0000088835061 
0.900114941,1.012135503,13,1,390.00009705617384 
0.900114003,1.012139588,13,1,390.0000023341402 
0.900114672,1.012132012,13,1,390.0001353642149 
0.900114666,1.012137936,13,1,390.000068591753 
0.900114945,1.012134945,13,1,390.000126398705 
0.900114334,1.012134423,13,1,390.01525987067 
0.900114431,1.012136403,13,1,390.01535018839286 
0.900114779,1.012131569,13,1,390.00008191198424 
0.900114652,1.012130843,13,1,390.0002738055469 
0.900114077,1.012135264,13,1,390.0000462091562 
0.900114303,1.012135743,13,1,390.01503424093085 
0.900114008,1.012136507,13,1,390.0000150861815 
0.900114538,1.01213005,13,1,390.00014831932634 
0.900114102,1.01213721,13,1,390.0000772217714 
0.900114874,1.012137161,13,1,390.00017916212215 
0.900114146,1.012136864,13,1,390.0001289734751 
0.90011456,1.012136128,13,1,390.00020070392145 
0.900114515,1.012136488,13,1,390.0000902651716 
0.900114671,1.012137537,13,1,390.00005028578335 
0.900114705,1.012131713,13,1,390.00004064378 
0.900114155,1.012138682,13,1,390.00003587607915 
0.900114398,1.012138299,13,1,390.01535786475546 
0.900114453,1.012138249,13,1,390.0001377968982 
0.900114793,1.012130541,13,1,390.0002383983109 
0.900114741,1.012135217,13,1,390.00004194715007 
0.900114302,1.012133444,13,1,390.0149030863945 
0.900114858,1.012138322,13,1,390.00021487091414 
0.9001143,1.012137504,13,1,390.0153816507485 
0.900114497,1.012130659,13,1,390.0001130165324 
0.900114766,1.012137099,13,1,390.00011849236324 
0.900114645,1.012136131,13,1,390.0002506968652 
0.900114699,1.01213177,13,1,390.0000897295169 
0.900114596,1.012136992,13,1,390.00019519766585 
0.900114265,1.012133773,13,1,390.01469991563613 
0.900114576,1.012132404,13,1,390.0000744339653 
0.900114605,1.012138476,13,1,390.0000870131053 
0.900114371,1.012136651,13,1,390.01520154298044 
0.90011433,1.012131278,13,1,390.01540594062106 
0.900114973,1.012139839,13,1,390.00011823556315 
0.900114303,1.012131173,13,1,390.01503424093085 
0.900114694,1.012133243,13,1,390.00012055147255 
0.900114043,1.012134501,13,1,390.0000041107361 
0.900114906,1.012137078,13,1,390.0001564487942 
0.900114352,1.012131876,13,1,390.0148533323152 
0.900114214,1.012132328,13,1,390.0000089642557 
0.9001147,1.012137323,13,1,390.00014845013123 
0.900114625,1.012135212,13,1,390.0000660224747 
0.900114343,1.012136194,13,1,390.0150927773448 
0.90011438,1.012136961,13,1,390.0154248100717 
0.900114464,1.012134026,13,1,390.00002536119 
0.900114938,1.012137555,13,1,390.0000142876028 
0.900114471,1.012137928,13,1,390.00002275980506 
0.900114062,1.012132255,13,1,390.0000547621292 
0.900114911,1.012130272,13,1,390.0000931699845 
0.900114255,1.012135497,13,1,390.01508575537406 
0.900114608,1.012133663,13,1,390.00001689831504 
0.900114225,1.01213893,13,1,390.00001881266724 
0.900114901,1.012139334,13,1,390.0005114117155 
0.900114835,1.012136643,13,1,390.0000327612721 
0.900114085,1.012134161,13,1,390.00000082883776 
0.900114102,1.012137922,13,1,390.0000772217714 
0.900114915,1.012130515,13,1,390.00025393323045 
0.900114038,1.012132024,13,1,390.0000831788542 
0.900114671,1.012131704,13,1,390.00005028578335 
0.900114932,1.01213457,13,1,390.0000998424942 
0.900114949,1.012139757,13,1,390.00021121468995 
0.900114316,1.012138264,13,1,390.0150648652089 
0.900114412,1.012134328,13,1,390.0156913138873 
0.900114822,1.012132104,13,1,390.0002329592989 
0.900114026,1.012134595,13,1,390.0000001505007 
0.900114758,1.012137133,13,1,390.0000205063324 
0.900114022,1.012139604,13,1,390.0000441534413 
0.900114282,1.012130642,13,1,390.0156898941223 
0.900114957,1.0121338,13,1,390.0000465553192 
0.900114987,1.012139841,13,1,390.00008003751554 
0.900114711,1.012136743,13,1,390.0000577089058 
0.900114182,1.012132341,13,1,390.00010905253646 
0.90011437,1.012132462,13,1,390.0153834053745 
0.900114916,1.012138989,13,1,390.00022449560055 
0.900114939,1.012131577,13,1,390.0001016425074 
0.900114599,1.012131239,13,1,390.0000454842854 
0.900114837,1.012130673,13,1,390.0000082932149 
0.900114761,1.01213359,13,1,390.00000131514406 
0.900114465,1.012136729,13,1,390.00000325133954 
0.900114913,1.012131158,13,1,390.00003292661745 
0.900114168,1.012137934,13,1,390.0000963566813 
0.900114894,1.01213214,13,1,390.0002084534907 
0.900114139,1.012131486,13,1,390.00000044334877 
0.900114126,1.012132733,13,1,390.00006685418225 
0.900114737,1.012134445,13,1,390.000002786548 
0.900114174,1.012132739,13,1,390.0000014364442 
0.900114981,1.01213426,13,1,390.0000682106736 
0.900114066,1.012132939,13,1,390.00001286681373 
0.900114019,1.012130276,13,1,390.00004943329253 
0.90011496,1.012139798,13,1,390.00008199805484 
0.90011482,1.012130165,13,1,390.00006812264604 
0.900114395,1.012133932,13,1,390.0153739057477 
0.900114475,1.012134163,13,1,390.0001919221375 
0.900114052,1.012130126,13,1,390.00002195456483 
0.900114034,1.012130638,13,1,390.00008911688377 
0.900114484,1.012132815,13,1,390.00000886369185 
0.900114655,1.012138296,13,1,390.00003442228666 
0.900114899,1.012137626,13,1,390.0001105781781 
0.900114549,1.01213061,13,1,390.00000069968723 
0.900114083,1.012138864,13,1,390.000003117883 
0.900114185,1.012139016,13,1,390.00001751814506 
0.90011487,1.012134543,13,1,390.0000525631547 
0.90011432,1.012134825,13,1,390.01573744921967 
0.900114319,1.012134509,13,1,390.01534830295975 
0.9001149,1.012132274,13,1,390.00003957491424 
0.900114989,1.012136638,13,1,390.000018480579 
0.90011455,1.01213543,13,1,390.00023460910586 
0.900114295,1.012139921,13,1,390.0154575363757 
0.90011466,1.01213113,13,1,390.00000234232596 
0.90011411,1.012130817,13,1,390.00000354992113 
0.900114726,1.012132954,13,1,390.0001397024939 
0.900114253,1.01213086,13,1,390.0149000630248 
0.900114653,1.012130714,13,1,390.0001097288312 
0.90011435,1.012133394,13,1,390.0145703610798 
0.900114706,1.012133956,13,1,390.00011103770066 
0.900114974,1.012133596,13,1,390.00028465858605 
0.900114681,1.01213608,13,1,390.0000000816391 
0.900114543,1.012131307,13,1,390.00024437523257 
0.900114856,1.012133216,13,1,390.00005704253704 
0.900114504,1.012135336,13,1,390.0000286089747 
0.900114002,1.012131641,13,1,390.0000030382531 
0.900114629,1.012131876,13,1,390.0002216309182 
0.900114178,1.01213842,13,1,390.00000313821175 
0.900114945,1.012133329,13,1,390.000126398705 
0.900114068,1.012131058,13,1,390.00003551950186 
0.900114011,1.012130843,13,1,390.00007604696293 
0.900114602,1.012136251,13,1,390.00033896456125 
0.900114748,1.012139832,13,1,390.00005929722465 
0.900114022,1.012139469,13,1,390.0000441534413 
0.900114385,1.012131024,13,1,390.015015055385 
0.900114135,1.012134558,13,1,390.00012359704857 
0.900114928,1.012130878,13,1,390.0001218700229 
0.900114685,1.012130125,13,1,390.0001790866416 
0.900114779,1.012135754,13,1,390.00008191198424 
0.900114162,1.012131401,13,1,390.0000229696403 
0.900114032,1.012130949,13,1,390.00000103141485 
0.900114347,1.012139153,13,1,390.01482144840935 
0.900114274,1.012132466,13,1,390.0147171390442 
0.900114904,1.012138185,13,1,390.0000354130381 
0.900114027,1.012135515,13,1,390.00010319404385 
0.900114727,1.012137654,13,1,390.00000306200127 
0.90011485,1.012130885,13,1,390.00002140853536 
0.900114849,1.01213884,13,1,390.0000437090796 
0.900114639,1.012137346,13,1,390.0001095788246 
0.900114361,1.012135367,13,1,390.0147634778651 
0.900114927,1.012132962,13,1,390.00013933382525 
0.90011428,1.012139251,13,1,390.01528697000566 
0.900114274,1.012139528,13,1,390.0147171390442 
0.90011418,1.012131402,13,1,390.00003375372404 
0.900114986,1.012137822,13,1,390.00009644057803 
0.900114666,1.012139141,13,1,390.000068591753 
0.900114596,1.012133154,13,1,390.00019519766585 
0.900114597,1.012130625,13,1,390.0000907587004 
0.900114569,1.012139038,13,1,390.00003877511193 
0.900114517,1.012138963,13,1,390.0001964790209 
0.900114819,1.01213933,13,1,390.00014858152605 
0.900114194,1.012135537,13,1,390.00000001153717 
0.900114789,1.012134033,13,1,390.0001307203427 
0.900114197,1.012132944,13,1,390.0000268325908 
0.900114665,1.012134064,13,1,390.0000146106332 
0.900114873,1.012131074,13,1,390.00011290057387 
0.900114834,1.012136153,13,1,390.0000180524144 
0.900114672,1.012135635,13,1,390.0001353642149 
0.90011411,1.012135949,13,1,390.00000354992113 
0.900114392,1.012130039,13,1,390.0155614922148 
0.90011448,1.012135969,13,1,390.00013302338397 
0.900114165,1.012131666,13,1,390.0000667655417 
0.900114822,1.012139262,13,1,390.0002329592989 
0.900114817,1.012133838,13,1,390.00002863884816 
0.900114189,1.012138354,13,1,390.0000112135996 
0.900114846,1.012138505,13,1,390.000072202473 
0.900114673,1.012130622,13,1,390.0000108282322 
0.900114328,1.012131607,13,1,390.015888559273 
0.900114814,1.012139923,13,1,390.00014551888256 
0.90011423,1.012138045,13,1,390.0000639246538 
0.900114728,1.012138181,13,1,390.00002994098895 
0.90011426,1.01213768,13,1,390.0150560078667 
0.90011489,1.012136729,13,1,390.00030540816283 
0.900114474,1.012138859,13,1,390.0000913896244 
0.900114301,1.012134913,13,1,390.01549294386905 
0.900114622,1.01213746,13,1,390.0000058139346 
0.900114139,1.012139903,13,1,390.00000044334877 
0.90011499,1.012137697,13,1,390.00012226428913 
0.900114194,1.012130822,13,1,390.00000001153717 
0.900114107,1.012139261,13,1,390.00000045557357 
0.900114219,1.012131661,13,1,390.00003814609113 
0.900114636,1.012131878,13,1,390.0000002315822 
0.900114885,1.012137618,13,1,390.00016938058627 
0.900114078,1.012137242,13,1,390.00000127846886 
0.900114198,1.012135164,13,1,390.0000479896423 
0.900114965,1.012131697,13,1,390.00014098792604 
0.900114426,1.012136639,13,1,390.0140578399433 
0.900114233,1.012134269,13,1,390.01569951339326 
0.90011421,1.012133064,13,1,390.00003258084735 
0.900114136,1.012139593,13,1,390.0000189889792 
0.900114453,1.012134143,13,1,390.0001377968982 
0.900114049,1.012137046,13,1,390.00000096844695 
0.900114953,1.012130732,13,1,390.0001104572947 
0.900114731,1.012131289,13,1,390.00011143519146 
0.900114337,1.012136493,13,1,390.0154109022675 
0.900114156,1.012133111,13,1,390.0000125339315 
0.900114915,1.012136738,13,1,390.00025393323045 
0.900114359,1.012137976,13,1,390.0157513151195 
0.900114471,1.012133807,13,1,390.00002275980506 
0.900114689,1.012134333,13,1,390.0001493138089 
0.9001142,1.012133525,13,1,390.00004066545455 
0.900114073,1.012130302,13,1,390.00001007264666 
0.900114456,1.012137847,13,1,390.0000277562842 
0.900114749,1.012134355,13,1,390.00001722159715 
0.900114154,1.012135151,13,1,390.0000432811573 
0.900114084,1.0121307,13,1,390.000131652876 
0.900114117,1.012130946,13,1,390.0001056124963 
0.900114169,1.012137066,13,1,390.0000143141071 
0.900114587,1.012130776,13,1,390.00015472430454 
0.900114174,1.012138989,13,1,390.0000014364442 
0.900114828,1.012131903,13,1,390.0000003820854 
0.900114881,1.01213998,13,1,390.0001367189555 
0.900114752,1.012133949,13,1,390.0000527408373 
0.900114548,1.012138115,13,1,390.0002667176995 
0.900114637,1.012138074,13,1,390.0001568686883 
